step,loss
10,2.088490295410156
20,2.0748874664306642
30,2.0982534408569338
40,2.082860565185547
50,2.087780570983887
60,2.0269443511962892
70,2.040460968017578
80,2.1175910949707033
90,2.0413511276245115
100,2.023542022705078
110,2.0524065017700197
120,2.0280174255371093
130,2.046435737609863
140,2.026610565185547
150,2.0222702026367188
160,1.9956735610961913
170,2.0629318237304686
180,1.9950634002685548
190,1.9934421539306642
200,1.9780817031860352
210,1.9589605331420898
220,1.9991363525390624
230,2.0151500701904297
240,2.0640581130981444
250,2.046266555786133
260,2.0583684921264647
270,2.0618825912475587
280,2.072237968444824
290,1.95950927734375
300,2.015611457824707
310,2.0345808029174806
320,2.1206029891967773
330,2.0100027084350587
340,1.9430377960205079
350,2.0342145919799806
360,2.0266721725463865
370,1.9993963241577148
380,2.0776832580566404
390,2.0148155212402346
400,2.0540815353393556
410,2.017877388000488
420,2.014296531677246
430,2.0098234176635743
440,2.0391212463378907
450,2.006501388549805
460,1.9278581619262696
470,2.0770307540893556
480,1.9923809051513672
490,2.019351577758789
500,2.1323215484619142
